resort_id,resort_name,city,state_province,peak_elevation,base_elevation,vertical_drop,acres,trails,lifts,avg_annual_snowfall,ticket_price,Weather
381,Living Memorial Park,Brattleboro,Vermont,1126,922,204,8,2,1,0,5,
425,Kettlebowl Ski Area,Antigo,Wisconsin,1780,1455,325,0,7,5,0,5,
434,Triangle Sports Area,Green Bay,Wisconsin,710,640,70,0,2,3,0,5,
243,Mount Prospect Ski Tow,Lancaster,New Hampshire,1700,1400,300,0,0,1,0,7,
232,Arrowhead Recreation Area,Claremont,New Hampshire,0,0,120,225,9,2,0,9,
134,Baker Mountain,Bingham,Maine,0,0,460,0,5,1,0,10,
418,Badger Mountain,Waterville,Washington,3470,3145,325,10,5,3,120,10,
426,Powers Bluff County Park and Winter Recreation Area,Arpin,Wisconsin,1430,1180,250,0,3,2,0,10,
432,Keyes Peak Ski Hill,Florence,Wisconsin,1480,1250,230,0,5,2,60,12,
75,Chapman Ski Hill,Durango,Colorado,7297,6522,775,7,1,2,71,15,
147,Eaton Mountain,Waterville,Maine,840,220,620,130,18,2,72,15,
198,Chester Bowl Park,Duluth,Minnesota,875,700,175,6,5,1,100,15,
244,Storrs Hill Ski Area,Lebanon,New Hampshire,580,280,300,20,3,1,0,15,
292,Mount Pisgah Ski Area,Saranac Lake,New York,2060,1770,290,15,5,1,0,15,
390,Lyndon Outing Club,Lyndon,Vermont,1247,814,433,32,10,2,0,15,
435,Kewaunee Winter Park,Kewaunee,Wisconsin,740,580,160,0,5,1,0,15,
442,Standing Rocks County Park and Winter Recreation Area,Portage,Wisconsin,0,0,125,0,5,1,0,16,
84,Cranor Hill,Gunnison,Colorado,8500,8100,400,45,4,1,75,17,
131,Titcomb Mountain,Augusta,Maine,750,400,350,45,16,3,85,17,
167,Mount McSauba,Charlevoix,Michigan,650,400,150,80,10,4,0,18,
112,Snowhaven,Grangeville,Idaho,5600,5200,400,40,9,2,60,19,
394,Cochran's Ski Area,Richmond,Vermont,950,600,350,15,8,3,150,19,
87,Lake City,Lake City,Colorado,8850,8600,250,14,7,1,0,20,
93,Kendall Mountain,Silverton,Colorado,9540,9300,240,16,11,1,200,20,
110,Cottonwood Butte,Cottonwood,Idaho,5730,4885,845,260,7,2,45,20,
113,Rotarun,Hailey,Idaho,5895,5420,475,0,12,1,0,20,
116,Bald Mountain,Pierce,Idaho,4800,4000,800,140,16,2,100,20,
174,Mulligan's Hollow Ski Bowl,Grand Haven,Michigan,700,570,130,10,7,5,60,20,
200,Mount Itasca,Grand Rapids,Minnesota,0,0,0,0,0,0,0,20,
218,Bear Paw Ski Bowl,Havre,Montana,5280,4200,1080,80,11,2,140,20,
226,Elko Snobowl,Elko,Nevada,6988,6338,650,60,10,2,24,20,
231,Campton Mountain,Campton,New Hampshire,1505,1192,313,0,0,2,0,20,
331,Ferguson Ridge,Joseph,Oregon,5840,5200,640,170,8,2,300,20,
288,Beartown Ski Area,Plattburgh,New York,1000,850,150,32,9,2,0,22,
410,Leavenworth Ski Hill,Leavenworth,Washington,1706,1476,230,17,2,2,0,22,
316,Frost Fire,Walhalla,North Dakota,1400,1070,330,0,10,3,0,23,
273,Four Season Ski Center,Fayetteville,New York,604,545,59,12,4,2,0,24,
